FEN,Evaluation
8/1r2pp1p/2k1n3/6p1/8/6P1/1P2RPKP/8 b - - 4 26,-600
8/1r2pp1p/4n3/3k2p1/8/6P1/1P2RPKP/8 w - - 5 27,-574
2rqk2r/pp2bppp/1nn1p3/1N6/3P1B2/1Q3N2/PP3PPP/2R2RK1 b k - 7 15,-86
2rq1rk1/pp2bppp/1nn1p3/1N6/3P1B2/1Q3N2/PP3PPP/2R2RK1 w - - 8 16,-46
2rq1rk1/pp2bppp/1nR1p3/1N6/3P1B2/1Q3N2/PP3PPP/5RK1 b - - 0 16,-193
3q1rk1/pp2bppp/1nr1p3/1N6/3P1B2/1Q3N2/PP3PPP/5RK1 w - - 0 17,-161
3q1rk1/Np2bppp/1nr1p3/8/3P1B2/1Q3N2/PP3PPP/5RK1 b - - 0 17,-188
3q1rk1/Np2bppp/1n2p3/8/2rP1B2/1Q3N2/PP3PPP/5RK1 w - - 1 18,-143
3q1rk1/Np2bppp/1n2p3/8/2rP1B2/PQ3N2/1P3PPP/5RK1 b - - 0 18,-206
3q1rk1/Np2bppp/1n2p3/8/r2P1B2/PQ3N2/1P3PPP/5RK1 w - - 1 19,-171
3q1rk1/1p2bppp/1n2p3/1N6/r2P1B2/PQ3N2/1P3PPP/5RK1 b - - 2 19,-256
5rk1/1p2bppp/1n2p3/1N1q4/r2P1B2/PQ3N2/1P3PPP/5RK1 w - - 3 20,-219
5rk1/1p2bppp/1n2p3/1N1q4/r2P1B2/P2Q1N2/1P3PPP/5RK1 b - - 4 20,-275
5rk1/1p2bppp/1n2p3/1N6/r1qP1B2/P2Q1N2/1P3PPP/5RK1 w - - 5 21,-233
5rk1/1p2bppp/1n2p3/1N6/r1QP1B2/P4N2/1P3PPP/5RK1 b - - 0 21,-252
5rk1/1p2bppp/1n2p3/1N6/2rP1B2/P4N2/1P3PPP/5RK1 w - - 0 22,-229
5rk1/1p2bppp/1n2p3/1N6/2rP1B2/P4N2/1P3PPP/1R4K1 b - - 1 22,-252
5rk1/1p2bppp/4p3/1N1n4/2rP1B2/P4N2/1P3PPP/1R4K1 w - - 2 23,-200
5rk1/1p2bppp/4p3/1N1n4/2rP4/P4N2/1P1B1PPP/1R4K1 b - - 3 23,-233
2r3k1/1p2bppp/4p3/1N1n4/2rP4/P4N2/1P1B1PPP/1R4K1 w - - 4 24,-210
2r3k1/1p2bppp/4p3/1N1n4/2rP4/P4N2/1P1B1PPP/1R3K2 b - - 5 24,-228
2r3k1/1p2b1pp/4pp2/1N1n4/2rP4/P4N2/1P1B1PPP/1R3K2 w - - 0 25,-203
2r3k1/1p2b1pp/4pp2/1N1n4/2rP4/P4N2/1P1BKPPP/1R6 b - - 1 25,-244
6k1/1p2b1pp/2r1pp2/1N1n4/2rP4/P4N2/1P1BKPPP/1R6 w - - 2 26,-191
6k1/1p2b1pp/2r1pp2/1N1n4/2rP4/P2K1N2/1P1B1PPP/1R6 b - - 3 26,-239
6k1/1p2b1pp/2r1pp2/1N1n4/r2P4/P2K1N2/1P1B1PPP/1R6 w - - 4 27,-176
6k1/1p2b1pp/2r1pp2/1N1n4/r2P4/P2K1N2/1P1B1PPP/4R3 b - - 5 27,-224
8/1p2bkpp/2r1pp2/1N1n4/r2P4/P2K1N2/1P1B1PPP/4R3 w - - 6 28,-205
8/1p2bkpp/2r1pp2/1N1n4/r2P4/P2K1N2/1P1BRPPP/8 b - - 7 28,-363
8/1p2bkpp/r1r1pp2/1N1n4/3P4/P2K1N2/1P1BRPPP/8 w - - 8 29,-268
8/1p2bkpp/r1r1pp2/3n4/3P4/P1NK1N2/1P1BRPPP/8 b - - 9 29,-364
8/1p2bkpp/r1r1pp2/8/3P4/P1nK1N2/1P1BRPPP/8 w - - 0 30,-197
8/1p2bkpp/r1r1pp2/8/3P4/P1BK1N2/1P2RPPP/8 b - - 0 30,-242
8/4bkpp/r1r1pp2/1p6/3P4/P1BK1N2/1P2RPPP/8 w - - 0 31,-202
8/4bkpp/r1r1pp2/1p6/3P4/P1BK4/1P1NRPPP/8 b - - 1 31,-240
r7/4bkpp/2r1pp2/1p6/3P4/P1BK4/1P1NRPPP/8 w - - 2 32,-189
r7/4bkpp/2r1pp2/1p6/3P4/PNBK4/1P2RPPP/8 b - - 3 32,-243
3r4/4bkpp/2r1pp2/1p6/3P4/PNBK4/1P2RPPP/8 w - - 4 33,-185
3r4/4bkpp/2r1pp2/1p6/3P1P2/PNBK4/1P2R1PP/8 b - - 0 33,-212
8/4bkpp/2r1pp2/1p1r4/3P1P2/PNBK4/1P2R1PP/8 w - - 1 34,-183
8/4bkpp/2r1pp2/Np1r4/3P1P2/P1BK4/1P2R1PP/8 b - - 2 34,-236
8/2r1bkpp/4pp2/Np1r4/3P1P2/P1BK4/1P2R1PP/8 w - - 3 35,-193
8/2r1bkpp/4pp2/Np1r4/1P1P1P2/P1BK4/4R1PP/8 b - - 0 35,-255
8/2r1bkp1/4pp2/Np1r3p/1P1P1P2/P1BK4/4R1PP/8 w - - 0 36,-192
8/2r1bkp1/4pp2/1p1r3p/1P1P1P2/PNBK4/4R1PP/8 b - - 1 36,-215
8/2r2kp1/3bpp2/1p1r3p/1P1P1P2/PNBK4/4R1PP/8 w - - 2 37,-186
8/2r2kp1/3bpp2/1p1r3p/1P1P1P2/PNBK2P1/4R2P/8 b - - 0 37,-207
8/2r2kp1/3bpp2/1p1r4/1P1P1P1p/PNBK2P1/4R2P/8 w - - 0 38,-170
8/2r2kp1/3bpp2/1pNr4/1P1P1P1p/P1BK2P1/4R2P/8 b - - 1 38,-339
8/2r2kp1/4pp2/1pbr4/1P1P1P1p/P1BK2P1/4R2P/8 w - - 0 39,-303
8/2r2kp1/4pp2/1pPr4/3P1P1p/P1BK2P1/4R2P/8 b - - 0 39,-308
8/5kp1/4pp2/1prr4/3P1P1p/P1BK2P1/4R2P/8 w - - 0 40,-327
8/5kp1/4pp2/1prr4/3P1P1P/P1BK4/4R2P/8 b - - 0 40,-386
8/5kp1/4pp2/1p1r4/2rP1P1P/P1BK4/4R2P/8 w - - 1 41,-344
8/5kp1/4pp2/1p1r4/2rP1P1P/P1BK4/1R5P/8 b - - 2 41,-369
8/5kp1/4pp2/1p1r4/r2P1P1P/P1BK4/1R5P/8 w - - 3 42,-314
8/5kp1/4pp2/1p1r4/rB1P1P1P/P2K4/1R5P/8 b - - 4 42,-314
8/6p1/4ppk1/1p1r4/rB1P1P1P/P2K4/1R5P/8 w - - 5 43,-286
8/6p1/4ppk1/1p1r4/rB1P1P1P/P2K4/6RP/8 b - - 6 43,-301
8/6p1/4pp1k/1p1r4/rB1P1P1P/P2K4/6RP/8 w - - 7 44,-265
8/6p1/4pp1k/1p1r4/rB1PKP1P/P7/6RP/8 b - - 8 44,-340
8/6p1/4pp1k/1p5r/rB1PKP1P/P7/6RP/8 w - - 9 45,-276
8/6p1/4pp1k/1p5r/rB1PKP1P/P7/2R4P/8 b - - 10 45,-318
8/6p1/4pp1k/1p6/rB1PKP1r/P7/2R4P/8 w - - 0 46,-243
8/6p1/2R1pp1k/1p6/rB1PKP1r/P7/7P/8 b - - 1 46,-273
8/8/2R1pp1k/1p4p1/rB1PKP1r/P7/7P/8 w - - 0 47,-259
8/8/4Rp1k/1p4p1/rB1PKP1r/P7/7P/8 b - - 0 47,-307
8/8/4Rp1k/1p4p1/rB1PKr2/P7/7P/8 w - - 0 48,-246
8/8/4Rp1k/1p4p1/rB1P1r2/P3K3/7P/8 b - - 1 48,-378
8/8/4Rpk1/1p4p1/rB1P1r2/P3K3/7P/8 w - - 2 49,-385
8/8/4Rpk1/1p1P2p1/rB3r2/P3K3/7P/8 b - - 0 49,-428
8/r7/4Rpk1/1p1P2p1/1B3r2/P3K3/7P/8 w - - 1 50,-377
8/r7/3PRpk1/1p4p1/1B3r2/P3K3/7P/8 b - - 0 50,-605
8/3r4/3PRpk1/1p4p1/1B3r2/P3K3/7P/8 w - - 1 51,-326
8/3r4/3P1pk1/1p4p1/1B2Rr2/P3K3/7P/8 b - - 2 51,-330
8/3r4/3P1pk1/1p4p1/1B2R3/P3K3/7P/5r2 w - - 3 52,-184
8/3r4/3P1pk1/1p4p1/1B2R2P/P3K3/8/5r2 b - - 0 52,-203
8/3r4/3P1pk1/1p4p1/1B2R2P/P3K3/8/3r4 w - - 1 53,-102
8/3r4/3P1pk1/1p4P1/1B2R3/P3K3/8/3r4 b - - 0 53,-108
8/3r4/3P2k1/1p4p1/1B2R3/P3K3/8/3r4 w - - 0 54,-141
8/3r4/3P2k1/1p2R1p1/1B6/P3K3/8/3r4 b - - 1 54,-105
8/5r2/3P2k1/1p2R1p1/1B6/P3K3/8/3r4 w - - 2 55,-46
8/5r2/3P2k1/1p2R1p1/1B6/P7/4K3/3r4 b - - 3 55,-54
8/5r2/3P2k1/1p2R1p1/1B1r4/P7/4K3/8 w - - 4 56,-49
8/5r2/3P2k1/1R4p1/1B1r4/P7/4K3/8 b - - 0 56,-160
8/5r2/3P2k1/1R6/1B1r2p1/P7/4K3/8 w - - 0 57,-99
1R6/5r2/3P2k1/8/1B1r2p1/P7/4K3/8 b - - 1 57,-229
1R6/5r2/3P4/5k2/1B1r2p1/P7/4K3/8 w - - 2 58,-104
1R6/5r2/3P4/5k2/1B1r2p1/P3K3/8/8 b - - 3 58,-302
1R6/5r2/3P4/5k2/1B2r1p1/P3K3/8/8 w - - 4 59,-291
1R6/5r2/3P4/5k2/1B2r1p1/P2K4/8/8 b - - 5 59,-369
1R6/5r2/3P4/5k2/1B2r3/P2K2p1/8/8 w - - 0 60,-345
6R1/5r2/3P4/5k2/1B2r3/P2K2p1/8/8 b - - 1 60,-391
6R1/5r2/3P4/5k2/1B4r1/P2K2p1/8/8 w - - 2 61,-400
8/5r2/3P4/5k2/1B4R1/P2K2p1/8/8 b - - 0 61,-465
8/5r2/3P4/8/1B4k1/P2K2p1/8/8 w - - 0 62,-636
8/5r2/3P4/8/1B2K1k1/P5p1/8/8 b - - 1 62,-5956
8/8/3P4/8/1B2Krk1/P5p1/8/8 w - - 2 63,-5961
8/8/3P4/4K3/1B3rk1/P5p1/8/8 b - - 3 63,-14
8/8/3P4/4K3/1B3rk1/P7/6p1/8 w - - 0 64,-18
r1b1k2r/ppqpb1pp/4pn2/4n3/7Q/2P2N2/PPBN1PPP/R1B1K2R b KQkq - 5 12,0
r1b1k2r/p1qpb1pp/1p2pn2/4n3/7Q/2P2N2/PPBN1PPP/R1B1K2R w KQkq - 0 13,43
r1b1k2r/p1qpb1pp/1p2pn2/4n3/8/2P2NQ1/PPBN1PPP/R1B1K2R b KQkq - 1 13,-10
r1b1k2r/p1qpb1pp/1p2pn2/8/8/2P2nQ1/PPBN1PPP/R1B1K2R w KQkq - 0 14,53
r1b1k2r/p1qpb1pp/1p2pn2/8/8/2P2PQ1/PPBN1P1P/R1B1K2R b KQkq - 0 14,0
r1b1k2r/p1q1b1pp/1p1ppn2/8/8/2P2PQ1/PPBN1P1P/R1B1K2R w KQkq - 0 15,93
r1b1k2r/p1q1b1Qp/1p1ppn2/8/8/2P2P2/PPBN1P1P/R1B1K2R b KQkq - 0 15,0
r1b1k1r1/p1q1b1Qp/1p1ppn2/8/8/2P2P2/PPBN1P1P/R1B1K2R w KQq - 1 16,49
r1b1k1r1/p1q1b2p/1p1ppn1Q/8/8/2P2P2/PPBN1P1P/R1B1K2R b KQq - 2 16,62
r3k1r1/pbq1b2p/1p1ppn1Q/8/8/2P2P2/PPBN1P1P/R1B1K2R w KQq - 3 17,49
r3k1r1/pbq1b2p/1p1ppn1Q/8/4N3/2P2P2/PPB2P1P/R1B1K2R b KQq - 4 17,43
r3k3/pbq1b2p/1p1ppnrQ/8/4N3/2P2P2/PPB2P1P/R1B1K2R w KQq - 5 18,284
r3k3/pbq1b2p/1p1ppNrQ/8/8/2P2P2/PPB2P1P/R1B1K2R b KQq - 0 18,284
r3k3/pbq1b2p/1p1ppr1Q/8/8/2P2P2/PPB2P1P/R1B1K2R w KQq - 0 19,290
r3k3/pbq1b2Q/1p1ppr2/8/8/2P2P2/PPB2P1P/R1B1K2R b KQq - 0 19,204
r3k3/p1q1b2Q/1p1ppr2/8/8/2P2b2/PPB2P1P/R1B1K2R w KQq - 0 20,520
r3k3/p1q1b2Q/1p1ppr2/8/B7/2P2b2/PP3P1P/R1B1K2R b KQq - 1 20,99
r3k3/p1q1b2Q/1pbppr2/8/B7/2P5/PP3P1P/R1B1K2R w KQq - 2 21,161
r3k3/p1q1b2Q/1pBppr2/8/8/2P5/PP3P1P/R1B1K2R b KQq - 0 21,82
r3k3/p3b2Q/1pqppr2/8/8/2P5/PP3P1P/R1B1K2R w KQq - 0 22,117
r3k3/p3b2Q/1pqppr2/8/8/2P5/PP3P1P/R1B1K1R1 b Qq - 1 22,47
r3k3/p3b2Q/1p1ppr2/8/8/2P2q2/PP3P1P/R1B1K1R1 w Qq - 2 23,119
r3k3/p3b2Q/1p1ppr2/8/8/2P1Bq2/PP3P1P/R3K1R1 b Qq - 3 23,73
r3k3/p3br1Q/1p1pp3/8/8/2P1Bq2/PP3P1P/R3K1R1 w Qq - 4 24,91
r3k3/p3br2/1p1pp1Q1/8/8/2P1Bq2/PP3P1P/R3K1R1 b Qq - 5 24,72
r7/p2kbr2/1p1pp1Q1/8/8/2P1Bq2/PP3P1P/R3K1R1 w Q - 6 25,97
r7/p2kbr2/1p1pp3/8/8/2P1Bq2/PP3PQP/R3K1R1 b Q - 7 25,22
7r/p2kbr2/1p1pp3/8/8/2P1Bq2/PP3PQP/R3K1R1 w Q - 8 26,112
7r/p2kbr2/1p1pp3/8/P7/2P1Bq2/1P3PQP/R3K1R1 b Q - 0 26,44
7r/p2kbr2/1p2p3/3p4/P7/2P1Bq2/1P3PQP/R3K1R1 w Q - 0 27,121
7r/p2kbr2/1p2p3/3p4/P7/2P1BQ2/1P3P1P/R3K1R1 b Q - 0 27,111
7r/p2kb3/1p2p3/3p4/P7/2P1Br2/1P3P1P/R3K1R1 w Q - 0 28,138
7r/p2kb1R1/1p2p3/3p4/P7/2P1Br2/1P3P1P/R3K3 b Q - 1 28,118
8/p2kb1R1/1p2p3/3p4/P7/2P1Br2/1P3P1r/R3K3 w Q - 0 29,110
8/p2kb1R1/1p2p3/3p4/P7/2P1Br2/1P2KP1r/R7 b - - 1 29,119
8/p2kb1R1/1p2p3/3p4/P7/2P1B2r/1P2KP1r/R7 w - - 2 30,144
8/p2kb1R1/1p2p3/P2p4/8/2P1B2r/1P2KP1r/R7 b - - 0 30,99
8/p2kb1Rr/1p2p3/P2p4/8/2P1B3/1P2KP1r/R7 w - - 1 31,161
8/p2kb1Rr/1P2p3/3p4/8/2P1B3/1P2KP1r/R7 b - - 0 31,269
8/p2kb1r1/1P2p3/3p4/8/2P1B3/1P2KP1r/R7 w - - 0 32,118
8/P2kb1r1/4p3/3p4/8/2P1B3/1P2KP1r/R7 b - - 0 32,73
6r1/P2kb3/4p3/3p4/8/2P1B3/1P2KP1r/R7 w - - 1 33,103
6r1/P2kb3/4p3/3p4/5B2/2P5/1P2KP1r/R7 b - - 2 33,292
6rr/P2kb3/4p3/3p4/5B2/2P5/1P2KP2/R7 w - - 3 34,401
6rr/P2kb3/4p3/3pB3/8/2P5/1P2KP2/R7 b - - 4 34,380
6rr/P2k4/4pb2/3pB3/8/2P5/1P2KP2/R7 w - - 5 35,657
6rr/P2k4/4pB2/3p4/8/2P5/1P2KP2/R7 b - - 0 35,651
6r1/P2k4/4pB1r/3p4/8/2P5/1P2KP2/R7 w - - 1 36,662
6r1/P2k4/4p2r/3pB3/8/2P5/1P2KP2/R7 b - - 2 36,104
r7/P2k4/4p2r/3pB3/8/2P5/1P2KP2/R7 w - - 3 37,194
r7/P2k4/R3p2r/3pB3/8/2P5/1P2KP2/8 b - - 4 37,134
r7/P2k4/R3p3/3pB3/7r/2P5/1P2KP2/8 w - - 5 38,253
rB6/P2k4/R3p3/3p4/7r/2P5/1P2KP2/8 b - - 6 38,279
